iter	Logloss
0	0.6879810047
1	0.6827063588
2	0.6779609636
3	0.6747373901
4	0.6709246332
5	0.6659690548
6	0.6613989593
7	0.6574114761
8	0.6537096762
9	0.6501740913
10	0.6468002231
11	0.6422488703
12	0.6377528196
13	0.6340631915
14	0.6302834219
15	0.6263871386
16	0.6227804195
17	0.6198176566
18	0.6156177852
19	0.6121598613
20	0.6090151395
21	0.6054241202
22	0.6018609725
23	0.5990874009
24	0.5958887442
25	0.593014006
26	0.5898106746
27	0.5870799688
28	0.5846585842
29	0.581824242
30	0.5793880838
31	0.5778100339
32	0.5756162963
33	0.5728074884
34	0.570277837
35	0.5675487629
36	0.5650183176
37	0.5631677705
38	0.561339891
39	0.5596039612
40	0.5568945118
41	0.5543969215
42	0.5524519551
43	0.5503780387
44	0.5484527411
45	0.5461403731
46	0.5447017692
47	0.5429081558
48	0.5408377675
49	0.5392052535
50	0.5376066087
51	0.5352071861
52	0.5328620514
53	0.5312103536
54	0.5290070021
55	0.5274680253
56	0.5255685707
57	0.5236491826
58	0.5212057036
59	0.5198717944
60	0.5179468938
61	0.5164170899
62	0.5144760044
63	0.5129227831
64	0.5116239338
65	0.5101632355
66	0.5089378577
67	0.5074902132
68	0.5057844923
69	0.5044654008
70	0.5033691935
71	0.5017438238
72	0.500737317
73	0.4996569859
74	0.4983952693
75	0.4970524959
76	0.4955696591
77	0.4944935176
78	0.4934174642
79	0.4920740734
80	0.4909644595
81	0.489804527
82	0.4887383081
83	0.4874234062
84	0.4866101921
85	0.4857334732
86	0.4842354659
87	0.4829935063
88	0.4817510175
89	0.4804585187
90	0.4797145425
91	0.4785064521
92	0.4772224206
93	0.475865535
94	0.4750483077
95	0.4736044999
96	0.4726421819
97	0.4716175939
98	0.4705268551
99	0.4695713286
100	0.468382863
101	0.4675149201
102	0.4662716816
103	0.4653673999
104	0.4644143871
105	0.4636726159
106	0.4624463561
107	0.4616618515
108	0.460744075
109	0.459890994
110	0.4587116572
111	0.4577206297
112	0.4567880796
113	0.4559955928
114	0.4550002434
115	0.4542658811
116	0.4534082137
117	0.4525392565
118	0.451233704
119	0.4505783257
120	0.4495100782
121	0.4485325014
122	0.4476957376
123	0.446844553
124	0.4459943826
125	0.4451481373
126	0.4442315074
127	0.4433123638
128	0.4425346507
129	0.4415877678
130	0.4406023852
131	0.4399743935
132	0.4393617487
133	0.4389410295
134	0.4382592791
135	0.4377544602
136	0.4372112296
137	0.4363814337
138	0.4356956702
139	0.4346212045
140	0.4338957946
141	0.4332560721
142	0.4323276233
143	0.4316427418
144	0.4309459532
145	0.4303186229
146	0.4292075979
147	0.4287007944
148	0.4282010911
149	0.427318154
150	0.4266184989
151	0.4261375383
152	0.4254853794
153	0.425037362
154	0.4245889917
155	0.4241643035
156	0.4236567503
157	0.4224581415
158	0.4218781752
159	0.4211466354
160	0.4206274396
161	0.4203426824
162	0.419621859
163	0.4189590719
164	0.418701216
165	0.4181393309
166	0.4176335858
167	0.4170309078
168	0.416229645
169	0.4155277848
170	0.4150226571
171	0.4143461547
172	0.4136248462
173	0.4130523329
174	0.4125700493
175	0.4118625883
176	0.4114053539
177	0.4109718896
178	0.4104561337
179	0.4098919995
180	0.4093112835
181	0.4089160544
182	0.4082870483
183	0.4078238162
184	0.4070237
185	0.4062886321
186	0.406007447
187	0.4054374915
188	0.4048177466
189	0.4045031774
190	0.4040569239
191	0.4035181476
192	0.4029774308
193	0.4024953677
194	0.4017616228
195	0.4012284472
196	0.4008147841
197	0.4004000625
198	0.4000358361
199	0.3992648704
200	0.3984024842
201	0.3979779723
202	0.3976589931
203	0.3970174183
204	0.3966608654
205	0.3963480602
206	0.3956656925
207	0.3950440512
208	0.3946037072
209	0.3937629744
210	0.3933145159
211	0.3929806748
212	0.3923619
213	0.3916186735
214	0.3910841749
215	0.3908019314
216	0.3903820501
217	0.3897873542
218	0.38926882
219	0.3888492474
220	0.3883329623
221	0.3878132374
222	0.3874003239
223	0.3869754152
224	0.3867120908
225	0.3863610946
226	0.3858522625
227	0.3853536617
228	0.3850179242
229	0.3845149575
230	0.3839943946
231	0.3835490673
232	0.3830298275
233	0.3827089078
234	0.38242565
235	0.3820192194
236	0.3817789155
237	0.3814639935
238	0.3811759287
239	0.3807469186
240	0.3803391209
241	0.3799405842
242	0.3795377698
243	0.3792642141
244	0.3788247522
245	0.3785915485
246	0.3783415866
247	0.3781060456
248	0.3776664954
249	0.3772975503
250	0.3768108566
251	0.376611434
252	0.3762559395
253	0.3759149099
254	0.3756343423
255	0.3752341739
256	0.3749098585
257	0.3745000321
258	0.3741709979
259	0.3736387925
260	0.373203035
261	0.3728493928
262	0.3726517782
263	0.3722822156
264	0.3719418917
265	0.3716522834
266	0.3712641986
267	0.3710255265
268	0.3707179251
269	0.3703782186
270	0.3698986252
271	0.3694788762
272	0.3689477072
273	0.3687298064
274	0.3682805541
275	0.3678898453
276	0.3675177028
277	0.3673214775
278	0.3669691582
279	0.3666661874
280	0.366448022
281	0.3661554149
282	0.3657305502
283	0.365411571
284	0.3652388512
285	0.3648640186
286	0.3646291832
287	0.3642221352
288	0.3638956147
289	0.3635778923
290	0.3630679798
291	0.3627718887
292	0.3625287624
293	0.3622239835
294	0.3618058221
295	0.3614748475
296	0.3610054413
297	0.3606955909
298	0.3603499308
299	0.3596696137
300	0.3592902387
301	0.3590871116
302	0.3589277984
303	0.3587027974
304	0.3586238354
305	0.358268826
306	0.358062678
307	0.3578068287
308	0.3576491251
309	0.357406969
310	0.3571665769
311	0.3568260766
312	0.356356494
313	0.3561019015
314	0.3558828982
315	0.355520061
316	0.3553118403
317	0.3551076106
318	0.3548504603
319	0.3545369716
320	0.3542013003
321	0.3539223423
322	0.3535567929
323	0.353392364
324	0.3530838586
325	0.3528576007
326	0.3524845542
327	0.3520950802
328	0.3517437753
329	0.3514461187
330	0.3511205243
331	0.3509049609
332	0.3506362783
333	0.3503723365
334	0.3501232346
335	0.3499096997
336	0.3496988109
337	0.3494535678
338	0.3493320267
339	0.3491577634
340	0.3490393754
341	0.3488094352
342	0.348549705
343	0.3483509659
344	0.3478659701
345	0.3475947297
346	0.3473067091
347	0.3469113697
348	0.346601387
349	0.3462695965
350	0.3460041333
351	0.3457046244
352	0.3454068575
353	0.3451166539
354	0.3450137232
355	0.3447331335
356	0.3445166439
357	0.3443301427
358	0.343822788
359	0.3436030129
360	0.3433450247
361	0.343001305
362	0.3428312092
363	0.3425791746
364	0.3422313536
365	0.341890721
366	0.3415340137
367	0.3413646455
368	0.3410497456
369	0.3407802692
370	0.3403890092
371	0.3402396627
372	0.3399582791
373	0.3397543141
374	0.3394677487
375	0.3391935095
376	0.3389697433
377	0.3387929001
378	0.3384574934
379	0.3380478214
380	0.3377767133
381	0.337558592
382	0.3373971619
383	0.3370367061
384	0.3367338456
385	0.3364923069
386	0.3363202045
387	0.3360275092
388	0.3355472543
389	0.3353599151
390	0.3350164601
391	0.3347931349
392	0.3345210786
393	0.3343730331
394	0.334177822
395	0.3338178513
396	0.3336449992
397	0.3335436562
398	0.3331484271
399	0.3329096226
400	0.3326106871
401	0.3323112003
402	0.3321044569
403	0.3318243964
404	0.3316740356
405	0.3314696075
406	0.3311493493
407	0.330964546
408	0.3306116975
409	0.3304697599
410	0.3303016266
411	0.3301415857
412	0.329882495
413	0.3296860491
414	0.3294814887
415	0.3293530459
416	0.3291771949
417	0.329017551
418	0.3287168514
419	0.328393859
420	0.3281332248
421	0.3278812783
422	0.3277154823
423	0.3276059807
424	0.3273386873
425	0.3270975014
426	0.3268220053
427	0.3267156788
428	0.3266829121
429	0.3264057622
430	0.3262115875
431	0.3259500713
432	0.3256689524
433	0.3253916261
434	0.3251445528
435	0.3250255254
436	0.3247261709
437	0.3246242766
438	0.3243912052
439	0.3241987284
440	0.3239593947
441	0.3236791137
442	0.3232655387
443	0.3230443524
444	0.3229394372
445	0.3226837423
446	0.3224366028
447	0.3222161883
448	0.3221051872
449	0.3217993499
450	0.3216703558
451	0.32138271
452	0.3211501017
453	0.3209115177
454	0.3206316557
455	0.320462927
456	0.3203414079
457	0.3201653806
458	0.3200546
459	0.3199182852
460	0.319752379
461	0.3195649516
462	0.3193235452
463	0.3190188987
464	0.3189151962
465	0.3187068432
466	0.3184542573
467	0.3183040068
468	0.3181276266
469	0.3180389404
470	0.3178082284
471	0.3174854565
472	0.3173416667
473	0.3172224629
474	0.3169827764
475	0.3166690893
476	0.3165297095
477	0.3163729541
478	0.3160060375
479	0.3158813212
480	0.3155661787
481	0.3153141
482	0.3150453953
483	0.314789524
484	0.3145800023
