iter	Passed	Remaining
0	1	1136
1	1	996
2	2	949
3	3	925
4	4	904
5	5	894
6	6	885
7	7	882
8	7	877
9	8	871
10	9	870
11	10	867
12	11	865
13	12	865
14	13	864
15	14	864
16	14	862
17	15	861
18	16	858
19	17	856
20	18	854
21	19	851
22	20	852
23	20	851
24	21	850
25	22	848
26	23	847
27	24	844
28	25	842
29	26	840
30	26	838
31	27	838
32	28	838
33	29	836
34	30	835
35	31	834
36	32	833
37	32	832
38	33	830
39	34	828
40	35	828
41	36	826
42	37	825
43	37	823
44	38	822
45	39	822
46	40	820
47	41	819
48	42	818
49	43	818
50	43	817
51	44	815
52	45	814
53	46	813
54	47	811
55	48	810
56	48	809
57	49	808
58	50	807
59	51	805
60	52	804
61	53	803
62	53	802
63	54	801
64	55	800
65	56	799
66	57	798
67	58	797
68	59	797
69	59	796
70	60	796
71	61	795
72	62	794
73	63	793
74	64	792
75	65	791
76	65	789
77	66	788
78	67	787
79	68	786
80	69	785
81	70	784
82	70	783
83	71	782
84	72	781
85	73	780
86	74	779
87	75	778
88	76	778
89	76	777
90	77	776
91	78	776
92	79	775
93	80	774
94	81	773
95	82	772
96	82	771
97	83	770
98	84	769
99	85	768
100	86	767
101	87	766
102	87	765
103	88	764
104	89	763
105	90	762
106	91	762
107	92	761
108	93	760
109	93	759
110	94	758
111	95	757
112	96	756
113	97	755
114	98	754
115	98	754
116	99	753
117	100	752
118	101	752
119	102	751
120	103	751
121	104	751
122	105	750
123	106	750
124	107	749
125	107	748
126	108	747
127	109	746
128	110	745
129	111	744
130	112	743
131	112	742
132	113	741
133	114	740
134	115	739
135	116	738
136	117	737
137	118	737
138	119	737
139	119	736
140	120	735
141	121	735
142	122	734
143	123	733
144	124	732
145	125	731
146	125	730
147	126	729
148	127	729
149	128	727
150	129	727
151	130	726
152	131	725
153	132	725
154	132	724
155	133	723
156	134	722
157	135	722
158	136	721
159	137	720
160	138	719
161	138	718
162	139	717
163	140	716
164	141	715
165	142	714
166	143	713
167	143	712
168	144	712
169	145	711
170	146	710
171	147	709
172	148	708
173	149	707
174	150	707
175	150	706
176	151	705
177	152	704
178	153	703
179	154	702
180	154	701
181	155	700
182	156	699
183	157	699
184	158	698
185	159	697
186	160	696
187	161	695
188	161	694
189	162	694
190	163	693
191	164	692
192	165	691
193	166	690
194	167	690
195	168	689
196	168	688
197	169	687
198	170	686
199	171	685
200	172	684
201	173	683
202	173	682
203	174	681
204	175	680
205	176	680
206	177	679
207	178	678
208	179	678
209	179	677
210	180	676
211	181	675
212	182	674
213	183	673
214	184	672
215	185	672
216	186	671
217	186	670
218	187	669
219	188	668
220	189	667
221	190	667
222	191	666
223	192	665
224	192	664
225	193	663
226	194	663
227	195	662
228	196	661
229	197	660
230	198	659
231	199	659
232	199	658
233	200	657
234	201	656
235	202	655
236	203	655
237	204	654
238	205	653
239	206	652
240	206	651
241	207	650
242	208	649
243	209	648
244	210	647
245	211	647
246	211	646
247	212	645
248	213	644
249	214	643
250	215	642
251	216	641
252	216	640
253	217	639
254	218	638
255	219	637
256	220	637
257	221	636
258	222	635
259	223	634
260	223	633
261	224	632
262	225	631
263	226	631
264	227	630
265	228	629
266	228	628
267	229	627
268	230	626
269	231	625
270	232	624
271	233	623
272	233	622
273	234	621
274	235	620
